Gm#,R,Degrom Game Starts
1,9,2
2,6,6
3,1,10
4,2,15
5,4,20
6,8,24
7,3,28
8,6,37
9,4,40
10,8,45
11,4,50
12,6,56
13,1,60
14,3,64
15,6,69
16,2,74
17,11,80
18,4,84
19,5,90
20,3,97
21,6,102
22,1,107
23,3,112
24,5,116
25,2,122
26,14,127
27,2,132
28,0,137
29,0,143
30,7,149
31,0,154
32,2,158
33,7,Aug
34,2,Jul
35,1,Jun
36,3,May
37,2,Sept
38,12,
39,1,
40,3,
41,5,
42,4,
43,2,
44,1,
45,1,
46,5,
47,3,
48,6,
49,7,
50,3,
51,8,
52,6,
53,4,
54,1,
55,4,
56,1,
57,0,
58,1,
59,0,
60,1,
61,3,
62,2,
63,2,
64,0,
65,3,
66,3,
67,5,
68,5,
69,12,
70,8,
71,8,
72,4,
73,2,
74,3,
75,7,
76,4,
77,4,
78,3,
79,2,
80,2,
81,5,
82,6,
83,6,
84,5,
85,0,
86,0,
87,4,
88,1,
89,3,
90,3,
91,4,
92,4,
93,7,
94,1,
95,7,
96,6,
97,2,
98,6,
99,6,
100,12,
101,4,
102,0,
103,1,
104,4,
105,3,
106,2,
107,1,
108,3,
109,4,
110,6,
111,1,
112,8,
113,6,
114,3,
115,4,
116,8,
117,3,
118,16,
119,24,
120,6,
121,2,
122,3,
123,8,
124,1,
125,6,
126,5,
127,1,
128,3,
129,3,
130,0,
131,4,
132,1,
133,10,
134,0,
135,2,
136,4,
137,4,
138,4,
139,7,
140,3,
141,10,
142,6,
143,3,
144,13,
145,4,
146,5,
147,8,
148,3,
149,3,
150,9,
151,2,
152,0,
153,5,
154,4,
155,0,
156,8,
157,3,
158,3,
159,4,
160,1,
161,1,
162,1,
