Header,#,Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",1,1927,NYY,1725,6222,158,976,908,90,0.103,0.098,0.181,0.324,0.307,0.384,0.488,0.4,,126,-14.2,203.7,76.2,49.3
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",2,1930,NYY,1796,6272,152,1062,986,91,0.103,0.091,0.179,0.324,0.309,0.384,0.488,0.388,,124,-11.9,204.3,-1.1,38.6
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",3,2019,HOU,2309,6394,288,920,891,67,0.101,0.182,0.221,0.296,0.274,0.352,0.495,0.355,,124,-9.5,187.8,14.4,42.1
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",4,1931,NYY,1751,6473,155,1067,990,139,0.116,0.086,0.16,0.309,0.297,0.383,0.457,0.387,,124,-3.4,206.4,18.8,45
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",5,2020,NYM,902,2279,86,286,278,20,0.086,0.219,0.187,0.32,0.272,0.348,0.459,0.347,,123,-11.1,55.4,-11.8,10.1
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",6,2017,HOU,2313,6271,238,896,854,98,0.081,0.173,0.196,0.309,0.282,0.346,0.478,0.349,,121,-0.4,162.6,0.4,37.2
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",7,2020,LAD,921,2316,118,349,327,29,0.098,0.203,0.227,0.276,0.256,0.338,0.483,0.35,,121,-5.1,56.9,-4.4,13.3
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",8,1976,CIN,2135,6538,141,857,802,210,0.104,0.138,0.144,0.309,0.28,0.357,0.424,0.357,,120,19,166.6,39.2,45.8
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",9,1982,MIL,1638,6337,216,891,843,84,0.076,0.113,0.176,0.285,0.279,0.335,0.455,0.348,,120,-3.6,147.6,-4.5,35.9
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",10,2003,BOS,2313,6530,238,961,932,88,0.095,0.144,0.202,0.307,0.289,0.36,0.491,0.364,,120,3.5,167.2,-61.5,32.6
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",11,2020,ATL,900,2344,103,348,338,23,0.102,0.244,0.215,0.322,0.268,0.349,0.483,0.355,,120,3.7,62.1,3.7,12.5
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",12,1902,PIT,1311,5480,18,774,660,222,0.068,,0.088,,0.286,0.344,0.374,0.346,,120,7.3,127.8,62.6,38.8
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",13,2007,NYY,2366,6528,201,968,929,123,0.098,0.152,0.174,0.318,0.29,0.366,0.463,0.361,,119,11.9,168.4,-47.2,33.9
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",14,1932,NYY,1712,6344,160,1002,954,77,0.121,0.083,0.169,0.293,0.286,0.376,0.454,0.377,,119,-14.9,150.7,20,38.5
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",15,1933,NYY,1707,6066,144,927,853,76,0.115,0.084,0.156,0.292,0.284,0.369,0.44,0.375,,118,-10.2,134.9,-5.1,35.4
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",16,1994,NYY,1192,4611,139,670,632,55,0.115,0.143,0.172,0.315,0.29,0.374,0.462,0.366,,118,-6.5,101.5,-16,23.4
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",17,1978,MIL,1632,6227,173,804,762,95,0.084,0.129,0.155,0.294,0.276,0.339,0.432,0.347,,117,-0.6,121,3.1,34.7
"12345678910...Page size:
PageSizeComboBox select2602 items in 87 pages",18,2015,TOR,2337,6231,232,891,852,88,0.091,0.185,0.188,0.298,0.269,0.34,0.457,0.344,,117,11,135.9,6.6,36.7
